date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:37:03	49188/49188	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Feb%202022%2016:07:03%20GMT	https://sites.google.com/view/medwings	C:/Users/DIBYARUP/Desktop/MedWings/MedWings/sites.google.com/view/medwings.html	(from )
21:37:03	67/67	---MCZ	200	added ('OK')	text/plain	date:Tue,%2001%20Feb%202022%2016:07:04%20GMT	https://sites.google.com/robots.txt		(from )
21:37:04	12989/12989	---MC-	200	added ('OK')	application/javascript	date:Tue,%2001%20Feb%202022%2016:07:04%20GMT	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/Users/DIBYARUP/Desktop/MedWings/MedWings/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/medwings)
21:37:04	49212/49212	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Feb%202022%2016:07:05%20GMT	https://sites.google.com/view/medwings/join-us	C:/Users/DIBYARUP/Desktop/MedWings/MedWings/sites.google.com/view/medwings/join-us.html	(from https://sites.google.com/view/medwings)
21:37:05	60034/60034	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Feb%202022%2016:07:05%20GMT	https://sites.google.com/view/medwings/home	C:/Users/DIBYARUP/Desktop/MedWings/MedWings/sites.google.com/view/medwings/home.html	(from https://sites.google.com/view/medwings)
21:37:06	69447/69447	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Feb%202022%2016:07:06%20GMT	https://sites.google.com/view/medwings/order-medicines	C:/Users/DIBYARUP/Desktop/MedWings/MedWings/sites.google.com/view/medwings/order-medicines.html	(from https://sites.google.com/view/medwings)
21:37:06	69541/69541	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Feb%202022%2016:07:06%20GMT	https://sites.google.com/view/medwings/order-medicines/healthcare-products	C:/Users/DIBYARUP/Desktop/MedWings/MedWings/sites.google.com/view/medwings/order-medicines/healthcare-products.html	(from https://sites.google.com/view/medwings)
21:37:07	69541/69541	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Feb%202022%2016:07:07%20GMT	https://sites.google.com/view/medwings/order-medicines/lab-tests	C:/Users/DIBYARUP/Desktop/MedWings/MedWings/sites.google.com/view/medwings/order-medicines/lab-tests.html	(from https://sites.google.com/view/medwings)
21:37:07	52207/52207	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Feb%202022%2016:07:08%20GMT	https://sites.google.com/view/medwings/covid-19	C:/Users/DIBYARUP/Desktop/MedWings/MedWings/sites.google.com/view/medwings/covid-19.html	(from https://sites.google.com/view/medwings)
21:37:08	57819/57819	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Feb%202022%2016:07:08%20GMT	https://sites.google.com/view/medwings/about-us	C:/Users/DIBYARUP/Desktop/MedWings/MedWings/sites.google.com/view/medwings/about-us.html	(from https://sites.google.com/view/medwings)
